Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_ursinae	diversification	extant_mrca	extinction_rate	speciation_rate	turnover
0	0	-11039.33	-11015.77	-23.56485	8.914625	0.01380141	16.65644	0.01784387	0.03164528	0.5638715
1	1	-11044.18	-11018.91	-25.26084	14.14993	0.05471024	15.53035	0.04648054	0.1011908	0.4593357
2	0	-6279.635	-6267.741	-11.89371	1.886158	0.002152252	2.163918	0.02376701	0.02591926	0.9169632
3	1	-7094.649	-7074.125	-20.52399	2.451933	-0.001750729	13.72689	0.07245924	0.07070851	1.02476
4	0	-5918.262	-5906.63	-11.63214	1.864849	-0.02515706	2.016275	0.05047315	0.02531609	1.993718
5	1	-5954.917	-5940.345	-14.57187	1.843665	-0.2382778	2.077811	0.3600041	0.1217264	2.957487
6	0	-5895.659	-5884.216	-11.44281	1.864849	0.01187938	1.890116	0.04462724	0.05650661	0.7897702
7	1	-5935.363	-5922.178	-13.18485	1.843665	-0.2108904	1.883363	0.2797536	0.06886323	4.062452
8	0	-5898.373	-5885.394	-12.97926	1.864849	0.3017502	1.890116	0.01106774	0.3128179	0.03538077
9	1	-5929.256	-5916.137	-13.11916	1.843665	0.05704832	1.850333	0.1453477	0.202396	0.7181351
10	0	-5895.439	-5884.205	-11.234	1.867793	0.0512118	1.890116	0.009831429	0.06104323	0.1610568
11	1	-5930.367	-5917.317	-13.05046	1.843665	0.1568019	1.850333	0.0921408	0.2489427	0.3701286
12	0	-5896.97	-5884.669	-12.30102	1.867793	0.1957443	1.908934	0.01203048	0.2077748	0.05790156
13	1	-5927.985	-5915.649	-12.33595	1.843665	0.002814538	1.850333	0.1198285	0.122643	0.977051
14	0	-5899.599	-5888.069	-11.53048	1.867793	0.08589094	1.943195	0.00321174	0.08910268	0.03604538
15	1	-5876.641	-5863.767	-12.87371	1.843665	-3.390287e-05	1.850333	0.1600706	0.1600366	1.000212
16	0	-5898.124	-5886.195	-11.92909	1.867793	0.1514382	1.931157	0.003076003	0.1545142	0.01990757
17	1	-5873.747	-5861.564	-12.18352	1.843665	0.05701559	1.850333	0.08383672	0.1408523	0.5952101
18	0	-5889.382	-5877.73	-11.65198	1.847883	0.1113561	1.878253	0.01329259	0.1246487	0.1066404
19	1	-5873.859	-5861.796	-12.0632	1.843665	-0.09001427	1.850333	0.1491051	0.05909083	2.52332
20	0	-5889.83	-5877.904	-11.9259	1.862168	0.1500524	1.86262	0.01670906	0.1667615	0.1001974
21	1	-5873.977	-5861.869	-12.10851	1.848758	0.05161959	1.850333	0.08114444	0.132764	0.611193
22	0	-5889.273	-5875.806	-13.46669	1.84621	0.3603312	1.86262	0.02011893	0.3804501	0.05288191
23	1	-5881.204	-5869.329	-11.87543	1.848758	0.004108157	1.850333	0.08857046	0.09267862	0.9556731
24	0	-5889.337	-5875.774	-13.56292	1.84621	0.350142	1.86262	0.03157072	0.3817127	0.08270807
25	1	-5878.02	-5863.253	-14.76714	1.848758	-0.02263777	1.8495	0.2954492	0.2728114	1.08298
26	0	-5889.078	-5875.437	-13.64099	1.84621	0.2427882	1.86262	0.08827347	0.3310616	0.2666376
27	1	-5875.862	-5862.77	-13.0929	1.845801	0.004857897	1.8495	0.1719581	0.1768159	0.9725257
28	0	-5891.622	-5876.28	-15.34188	1.84621	0.5145639	1.850268	0.06773055	0.5822944	0.1163167
29	1	-5878.589	-5862.285	-16.30455	1.845801	-0.102697	1.8495	0.432085	0.329388	1.311781
30	0	-5886.433	-5874.584	-11.84898	1.84621	0.07651685	1.850268	0.05016126	0.1266781	0.3959742
31	1	-5877.778	-5862.504	-15.27414	1.845801	-0.3254527	1.850838	0.4816849	0.1562323	3.083133
32	0	-5890.768	-5879.623	-11.14566	1.84621	0.03986655	1.850268	0.01778936	0.0576559	0.3085436
33	1	-5874.413	-5861.633	-12.77921	1.845801	-0.1483147	1.849726	0.2282288	0.07991413	2.855925
34	0	-5887.466	-5875.825	-11.64022	1.84621	0.09568831	1.850268	0.02584734	0.1215357	0.2126729
35	1	-5876.163	-5862.403	-13.75922	1.845801	-0.1879707	1.849726	0.3131662	0.1251956	2.501416
36	0	-5890.96	-5879.372	-11.58744	1.84621	0.1089579	1.847837	0.01578226	0.1247402	0.126521
37	1	-5873.802	-5859.961	-13.84117	1.845801	-0.07963535	1.849726	0.2635686	0.1839332	1.432958
38	0	-5885.278	-5873.951	-11.32688	1.84621	0.04348933	1.847837	0.02967164	0.07316097	0.4055665
39	1	-5878.514	-5863.505	-15.00858	1.845801	0.4337799	1.881744	0.08325028	0.5170302	0.1610163
40	0	-5877.149	-5866.088	-11.06089	1.84621	0.007978003	1.847837	0.02803996	0.03601796	0.7784993
41	1	-5880.555	-5865.287	-15.26826	1.845801	0.2844903	1.871388	0.1726824	0.4571728	0.3777181
42	0	-5877.138	-5865.969	-11.16949	1.84573	0.0118335	1.852133	0.03309674	0.04493025	0.736625
43	1	-5877.305	-5860.887	-16.41799	1.845801	-0.01268819	1.848975	0.3923658	0.3796776	1.033418
44	0	-5877.702	-5866.78	-10.92174	1.84573	-0.02117694	1.8484	0.03224789	0.01107095	2.912838
45	1	-5873.633	-5861.182	-12.45033	1.845801	0.1600363	1.846483	0.05203897	0.2120752	0.2453798
46	0	-5876.873	-5865.732	-11.14119	1.84573	-0.0499509	1.8484	0.06293233	0.01298144	4.847871
47	1	-5872.003	-5860.028	-11.97467	1.843754	0.07257788	1.846483	0.0620769	0.1346548	0.4610078
48	0	-5877.625	-5866.462	-11.1631	1.84573	-0.06932273	1.8484	0.07431549	0.004992764	14.88464
49	1	-5873.128	-5860.546	-12.58138	1.843754	0.1658498	1.846483	0.0580804	0.2239302	0.2593684
50	0	-5877.672	-5866.773	-10.89821	1.84573	-0.02462645	1.8484	0.03222998	0.007603538	4.238814
51	1	-5873.281	-5859.545	-13.73571	1.843754	0.3861068	1.846483	0.02874672	0.4148535	0.06929368
52	0	-5877.942	-5866.742	-11.20051	1.84573	-0.06321291	1.858213	0.07175714	0.008544237	8.398309
53	1	-5871.415	-5859.626	-11.78949	1.843754	0.1311616	1.846483	0.02034064	0.1515022	0.1342596
54	0	-5878.49	-5866.65	-11.8401	1.84573	-0.1522328	1.858213	0.1633324	0.01109966	14.71509
55	1	-5872.516	-5860.411	-12.10495	1.843754	0.1810868	1.846842	0.018057	0.1991438	0.09067315
56	0	-5879.428	-5867.233	-12.19512	1.843489	-0.1053927	1.858213	0.1638596	0.05846694	2.802603
57	1	-5871.269	-5858.969	-12.30009	1.843754	0.203874	1.846842	0.02053674	0.2244108	0.09151404
58	0	-5881.675	-5867.019	-14.6559	1.843489	0.007306315	1.86106	0.2694978	0.2768041	0.9736047
59	1	-5871.886	-5860.715	-11.17063	1.843754	0.01401931	1.857827	0.0311167	0.04513601	0.6893986
60	0	-5882.12	-5867.271	-14.84916	1.857577	-0.02482545	1.86106	0.298398	0.2735725	1.090745
61	1	-5871.708	-5859.961	-11.74724	1.843754	0.1090913	1.847207	0.02807191	0.1371632	0.2046607
62	0	-5883.837	-5868.767	-15.07001	1.857577	0.009314828	1.86106	0.2946574	0.3039722	0.9693563
63	1	-5871.308	-5860.236	-11.0723	1.843754	0.01482832	1.847207	0.02582511	0.04065343	0.6352505
64	0	-5884.338	-5868.751	-15.58692	1.857577	0.3152992	1.863237	0.1762142	0.4915134	0.3585135
65	1	-5870.134	-5858.932	-11.20189	1.843754	0.03586454	1.847207	0.02490204	0.06076658	0.4097983
66	0	-5885.111	-5867.914	-17.19718	1.847551	0.1237026	1.857882	0.370469	0.4941716	0.7496768
67	1	-5873.013	-5861.516	-11.49735	1.843754	-0.04187336	1.847207	0.08522027	0.04334692	1.966005
68	0	-5885.924	-5872.584	-13.34035	1.847551	0.2333475	1.880691	0.06977873	0.3031263	0.2301969
69	1	-5871.623	-5859.474	-12.14919	1.843754	-0.06437874	1.848672	0.1424268	0.07804806	1.82486
70	0	-5884.491	-5871.456	-13.03498	1.847551	-0.07811626	1.875323	0.2040069	0.1258907	1.620509
71	1	-5873.945	-5860.919	-13.0257	1.843754	-0.1965544	1.848672	0.2696415	0.07308712	3.689317
72	0	-5880.837	-5866.938	-13.89859	1.847551	0.1073994	1.851864	0.1722054	0.2796048	0.6158885
73	1	-5872.948	-5860.573	-12.37563	1.843754	-0.1450942	1.848672	0.1991126	0.05401839	3.686015
74	0	-5880.027	-5866.165	-13.86257	1.847551	-0.1133513	1.851864	0.280495	0.1671437	1.678167
75	1	-5875.878	-5863.794	-12.08418	1.843754	-0.09471338	1.861908	0.1509143	0.05620088	2.685265
76	0	-5881.607	-5866.242	-15.36498	1.847551	-0.1056048	1.851864	0.3729974	0.2673926	1.394943
77	1	-5876.68	-5863.204	-13.47602	1.851022	-0.299326	1.861908	0.3508132	0.0514872	6.813601
78	0	-5881.691	-5866.902	-14.78906	1.847551	-0.2717394	1.851864	0.421341	0.1496016	2.81642
79	1	-5875.302	-5863.465	-11.83678	1.851022	-0.02577351	1.861908	0.09841837	0.07264486	1.354788
80	0	-5879.867	-5866.736	-13.13151	1.847551	0.02535045	1.851864	0.1625776	0.187928	0.8651055
81	1	-5874.92	-5862.052	-12.86784	1.851022	0.06852946	1.857017	0.1237964	0.1923259	0.6436805
82	0	-5878.179	-5866.202	-11.977	1.847551	-0.05529978	1.851864	0.1244419	0.06914215	1.799798
83	1	-5876.28	-5861.565	-14.71532	1.851022	0.4489372	1.857017	0.06058571	0.5095229	0.1189068
84	0	-5879.945	-5868.216	-11.72883	1.847551	-0.1184078	1.851864	0.1392137	0.02080595	6.691052
85	1	-5878.472	-5861.92	-16.55232	1.851022	0.5596713	1.857017	0.121255	0.6809263	0.1780736
86	0	-5878.056	-5865.743	-12.31353	1.847551	-0.1599622	1.851864	0.2010561	0.04109387	4.892604
87	1	-5877.327	-5862.322	-15.00481	1.851022	0.254647	1.857017	0.1726106	0.4272575	0.4039965
88	0	-5878.991	-5866.908	-12.08319	1.847551	0.01441776	1.851864	0.0968995	0.1113173	0.8704805
