Iteration	Posterior	Likelihood	Prior	age_ursinae	diversification	extant_mrca	extinction_rate	speciation_rate	turnover
0	-11044.18	-11018.91	-25.26084	14.14993	0.05471024	15.53035	0.04648054	0.1011908	0.4593357
10	-7094.649	-7074.125	-20.52399	2.451933	-0.001750729	13.72689	0.07245924	0.07070851	1.02476
20	-5954.917	-5940.345	-14.57187	1.843665	-0.2382778	2.077811	0.3600041	0.1217264	2.957487
30	-5935.363	-5922.178	-13.18485	1.843665	-0.2108904	1.883363	0.2797536	0.06886323	4.062452
40	-5929.256	-5916.137	-13.11916	1.843665	0.05704832	1.850333	0.1453477	0.202396	0.7181351
50	-5930.367	-5917.317	-13.05046	1.843665	0.1568019	1.850333	0.0921408	0.2489427	0.3701286
60	-5927.985	-5915.649	-12.33595	1.843665	0.002814538	1.850333	0.1198285	0.122643	0.977051
70	-5876.641	-5863.767	-12.87371	1.843665	-3.390287e-05	1.850333	0.1600706	0.1600366	1.000212
80	-5873.747	-5861.564	-12.18352	1.843665	0.05701559	1.850333	0.08383672	0.1408523	0.5952101
90	-5873.859	-5861.796	-12.0632	1.843665	-0.09001427	1.850333	0.1491051	0.05909083	2.52332
100	-5873.977	-5861.869	-12.10851	1.848758	0.05161959	1.850333	0.08114444	0.132764	0.611193
110	-5881.204	-5869.329	-11.87543	1.848758	0.004108157	1.850333	0.08857046	0.09267862	0.9556731
120	-5878.02	-5863.253	-14.76714	1.848758	-0.02263777	1.8495	0.2954492	0.2728114	1.08298
130	-5875.862	-5862.77	-13.0929	1.845801	0.004857897	1.8495	0.1719581	0.1768159	0.9725257
140	-5878.589	-5862.285	-16.30455	1.845801	-0.102697	1.8495	0.432085	0.329388	1.311781
150	-5877.778	-5862.504	-15.27414	1.845801	-0.3254527	1.850838	0.4816849	0.1562323	3.083133
160	-5874.413	-5861.633	-12.77921	1.845801	-0.1483147	1.849726	0.2282288	0.07991413	2.855925
170	-5876.163	-5862.403	-13.75922	1.845801	-0.1879707	1.849726	0.3131662	0.1251956	2.501416
180	-5873.802	-5859.961	-13.84117	1.845801	-0.07963535	1.849726	0.2635686	0.1839332	1.432958
190	-5878.514	-5863.505	-15.00858	1.845801	0.4337799	1.881744	0.08325028	0.5170302	0.1610163
200	-5880.555	-5865.287	-15.26826	1.845801	0.2844903	1.871388	0.1726824	0.4571728	0.3777181
210	-5877.305	-5860.887	-16.41799	1.845801	-0.01268819	1.848975	0.3923658	0.3796776	1.033418
220	-5873.633	-5861.182	-12.45033	1.845801	0.1600363	1.846483	0.05203897	0.2120752	0.2453798
230	-5872.003	-5860.028	-11.97467	1.843754	0.07257788	1.846483	0.0620769	0.1346548	0.4610078
240	-5873.128	-5860.546	-12.58138	1.843754	0.1658498	1.846483	0.0580804	0.2239302	0.2593684
250	-5873.281	-5859.545	-13.73571	1.843754	0.3861068	1.846483	0.02874672	0.4148535	0.06929368
260	-5871.415	-5859.626	-11.78949	1.843754	0.1311616	1.846483	0.02034064	0.1515022	0.1342596
270	-5872.516	-5860.411	-12.10495	1.843754	0.1810868	1.846842	0.018057	0.1991438	0.09067315
280	-5871.269	-5858.969	-12.30009	1.843754	0.203874	1.846842	0.02053674	0.2244108	0.09151404
290	-5871.886	-5860.715	-11.17063	1.843754	0.01401931	1.857827	0.0311167	0.04513601	0.6893986
300	-5871.708	-5859.961	-11.74724	1.843754	0.1090913	1.847207	0.02807191	0.1371632	0.2046607
310	-5871.308	-5860.236	-11.0723	1.843754	0.01482832	1.847207	0.02582511	0.04065343	0.6352505
320	-5870.134	-5858.932	-11.20189	1.843754	0.03586454	1.847207	0.02490204	0.06076658	0.4097983
330	-5873.013	-5861.516	-11.49735	1.843754	-0.04187336	1.847207	0.08522027	0.04334692	1.966005
340	-5871.623	-5859.474	-12.14919	1.843754	-0.06437874	1.848672	0.1424268	0.07804806	1.82486
350	-5873.945	-5860.919	-13.0257	1.843754	-0.1965544	1.848672	0.2696415	0.07308712	3.689317
360	-5872.948	-5860.573	-12.37563	1.843754	-0.1450942	1.848672	0.1991126	0.05401839	3.686015
370	-5875.878	-5863.794	-12.08418	1.843754	-0.09471338	1.861908	0.1509143	0.05620088	2.685265
380	-5876.68	-5863.204	-13.47602	1.851022	-0.299326	1.861908	0.3508132	0.0514872	6.813601
390	-5875.302	-5863.465	-11.83678	1.851022	-0.02577351	1.861908	0.09841837	0.07264486	1.354788
400	-5874.92	-5862.052	-12.86784	1.851022	0.06852946	1.857017	0.1237964	0.1923259	0.6436805
410	-5876.28	-5861.565	-14.71532	1.851022	0.4489372	1.857017	0.06058571	0.5095229	0.1189068
420	-5878.472	-5861.92	-16.55232	1.851022	0.5596713	1.857017	0.121255	0.6809263	0.1780736
430	-5877.327	-5862.322	-15.00481	1.851022	0.254647	1.857017	0.1726106	0.4272575	0.4039965
440	-5873.449	-5861.447	-12.00168	1.851022	-0.05748778	1.857017	0.1269997	0.0695119	1.827021
450	-5874.747	-5861.563	-13.18324	1.851022	-0.08992283	1.852709	0.2252271	0.1353042	1.664597
460	-5875.052	-5860.985	-14.06704	1.851022	-0.3866175	1.852709	0.4362281	0.04961063	8.793038
470	-5875.855	-5862.64	-13.21439	1.851022	-0.2502561	1.863246	0.30768	0.05742383	5.358053
480	-5874.359	-5862.497	-11.86136	1.851022	-0.08870515	1.863246	0.1317236	0.04301841	3.062028
490	-5875.832	-5863.213	-12.61896	1.851022	-0.1617194	1.863246	0.2219269	0.06020744	3.686037
500	-5875.318	-5862.534	-12.78339	1.851022	-0.2351707	1.863246	0.2710722	0.03590142	7.550457
510	-5874.369	-5861.479	-12.88967	1.851022	-0.1300996	1.863246	0.2239994	0.09389984	2.385514
520	-5874.354	-5860.443	-13.9105	1.847781	0.2421546	1.857307	0.1080084	0.3501629	0.3084517
530	-5873.315	-5861.903	-11.41151	1.847781	0.0495464	1.857307	0.03117904	0.08072544	0.3862356
540	-5877.152	-5864.22	-12.93158	1.847781	-0.08785233	1.883521	0.2019516	0.1140993	1.769964
550	-5874.852	-5861.962	-12.89007	1.847781	0.04527114	1.849464	0.1383581	0.1836293	0.7534644
560	-5885.314	-5866.803	-18.51056	1.847781	0.06341689	1.851946	0.4841018	0.5475187	0.884174
570	-5876.695	-5864.299	-12.39628	1.845312	0.1281868	1.875239	0.05911717	0.187304	0.3156216
580	-5880.03	-5866.67	-13.36033	1.845312	0.3056044	1.876814	0.03897943	0.3445838	0.1131203
590	-5874.391	-5861.987	-12.40469	1.845312	0.2098911	1.868874	0.0209823	0.2308734	0.09088227
600	-5877.385	-5860.886	-16.49888	1.845312	0.3902771	1.849869	0.2002683	0.5905454	0.3391243
610	-5875.487	-5860.914	-14.57344	1.845312	-0.02277341	1.85254	0.281947	0.2591736	1.087869
620	-5875.923	-5862.14	-13.78343	1.845312	-0.362033	1.85254	0.4048337	0.04280069	9.458579
630	-5875.68	-5862.452	-13.22859	1.845312	-0.2179473	1.866482	0.2911191	0.07317188	3.978566
640	-5877.282	-5862.687	-14.59547	1.845312	-0.4986219	1.853566	0.5281939	0.02957199	17.86129
650	-5873.695	-5861.734	-11.96042	1.845312	-0.187452	1.853609	0.1911467	0.003694723	51.73505
660	-5874.242	-5862.675	-11.56698	1.845312	-0.006650625	1.853609	0.07109926	0.06444863	1.103193
670	-5875.593	-5861.551	-14.04129	1.845312	0.2024481	1.852112	0.1364999	0.3389479	0.4027163
680	-5874.251	-5860.157	-14.09313	1.845312	-0.1754664	1.852112	0.3283953	0.1529289	2.147372
690	-5872.93	-5860.37	-12.55995	1.845312	-0.2108764	1.852112	0.2449812	0.03410483	7.183181
700	-5872.351	-5861.118	-11.23294	1.845312	-0.02435673	1.859083	0.05461136	0.03025463	1.805058
710	-5872.081	-5860.792	-11.28829	1.845312	-0.01876096	1.859083	0.05586065	0.03709969	1.505691
720	-5872.536	-5860.691	-11.84578	1.845312	0.04329617	1.859083	0.06506814	0.1083643	0.6004573
730	-5873.772	-5860.205	-13.56701	1.845312	-0.3706709	1.848518	0.3960159	0.02534505	15.62498
740	-5870.531	-5859.577	-10.95327	1.845312	-0.04586793	1.848518	0.0471649	0.001296974	36.36534
750	-5872.117	-5860.855	-11.26253	1.845312	-0.08351357	1.865176	0.08539998	0.001886406	45.27127
760	-5874.123	-5863.079	-11.04395	1.863531	0.01082112	1.865176	0.02156726	0.03238838	0.6658949
770	-5873.346	-5862.32	-11.02565	1.863531	0.0292455	1.865176	0.01103362	0.04027912	0.2739289
780	-5877.844	-5866.737	-11.10681	1.863531	-0.00793962	1.870889	0.03435075	0.02641113	1.300616
790	-5879.073	-5867.83	-11.24386	1.861029	-0.0638378	1.887165	0.06913628	0.005298478	13.04833
800	-5875.619	-5862.883	-12.73656	1.861029	-0.2782587	1.864056	0.28963	0.0113713	25.47027
810	-5874.547	-5862.88	-11.66637	1.861029	-0.06901543	1.866094	0.1069408	0.03792532	2.819772
820	-5874.855	-5863.259	-11.5959	1.861029	-0.009557415	1.866094	0.07197623	0.06241882	1.153118
830	-5876.622	-5862.082	-14.54045	1.861029	0.3244428	1.862639	0.1081706	0.4326134	0.25004
840	-5875.939	-5863.515	-12.42466	1.861029	-0.1555288	1.861708	0.2054489	0.04992003	4.11556
850	-5877.574	-5864.628	-12.94626	1.861029	0.2073114	1.861708	0.05983062	0.267142	0.2239656
860	-5873.364	-5862.202	-11.16188	1.861029	0.010452	1.861708	0.03124329	0.04169529	0.7493242
870	-5875.315	-5863.342	-11.97357	1.861029	-0.1084908	1.866388	0.1490167	0.04052595	3.677069
880	-5880.343	-5867.397	-12.94566	1.861029	-0.01777006	1.866388	0.1700839	0.1523138	1.116667
890	-5879.336	-5865.605	-13.73063	1.852547	0.1286118	1.871259	0.1495869	0.2781987	0.5376981
900	-5874.887	-5861.83	-13.05729	1.847533	-0.01265581	1.862608	0.1761223	0.1634665	1.077421
910	-5874.573	-5862.464	-12.1094	1.847533	0.06148222	1.862608	0.07396518	0.1354474	0.5460805
920	-5873.94	-5862.043	-11.89797	1.847533	0.077072	1.862608	0.05152688	0.1285989	0.4006791
930	-5872.749	-5860.742	-12.00722	1.847533	-0.01811595	1.855299	0.1077345	0.08961858	1.202145
940	-5873.803	-5862.725	-11.0774	1.847533	0.02827225	1.855299	0.01769051	0.04596275	0.3848879
950	-5874.027	-5861.151	-12.87598	1.842649	-0.2515729	1.862736	0.2857543	0.0341814	8.359934
960	-5872.416	-5860.532	-11.88472	1.840834	0.0090146	1.862736	0.08421124	0.09322584	0.9033036
970	-5871.364	-5859.935	-11.42883	1.840834	-0.03207565	1.847128	0.07532483	0.04324918	1.741648
980	-5873.554	-5860.568	-12.98642	1.840834	-0.05868196	1.844865	0.1971096	0.1384277	1.423918
990	-5875.112	-5859.768	-15.34466	1.840834	0.3040019	1.843419	0.1713671	0.475369	0.3604928
1000	-5873.445	-5861.788	-11.65619	1.840834	-0.130988	1.843419	0.142603	0.01161497	12.27752
1010	-5877.086	-5865.974	-11.11169	1.852476	-0.05730032	1.861112	0.06178013	0.004479805	13.79081
1020	-5878.253	-5867.051	-11.20185	1.852476	0.04867955	1.852839	0.01721171	0.06589126	0.2612139
1030	-5872.018	-5861.202	-10.81612	1.852476	-0.00811044	1.852839	0.0168592	0.008748755	1.927039
1040	-5875.821	-5864.554	-11.26697	1.852476	0.0794108	1.858806	0.005612191	0.08502299	0.06600792
1050	-5872.453	-5861.396	-11.05736	1.852476	-0.04289761	1.858806	0.05103244	0.008134833	6.273324
1060	-5874.757	-5862.217	-12.53999	1.852476	0.0393871	1.866303	0.1141717	0.1535588	0.7435047
1070	-5874.764	-5863.576	-11.18836	1.852476	-0.06774468	1.866303	0.07167315	0.003928462	18.24458
1080	-5874.701	-5862.872	-11.82877	1.852476	-0.1474645	1.857064	0.1607282	0.01326364	12.11795
1090	-5874.87	-5862.662	-12.20852	1.852476	0.2034063	1.857064	0.01283432	0.2162406	0.05935202
1100	-5883.552	-5870.586	-12.96651	1.852476	0.2253542	1.875332	0.05082914	0.2761833	0.1840413
1110	-5877.29	-5865.245	-12.04551	1.852476	-0.04479573	1.861812	0.1227867	0.07799096	1.574371
1120	-5873.799	-5862.81	-10.98884	1.852476	0.04379856	1.861812	0.00190793	0.04570649	0.04174308
1130	-5877.311	-5863.752	-13.55907	1.852476	0.3173507	1.872245	0.04683506	0.3641857	0.1286021
1140	-5876.76	-5863.748	-13.01235	1.852476	-0.2933065	1.854392	0.3180977	0.02479116	12.83109
1150	-5876.846	-5862.508	-14.33809	1.852476	-0.08283085	1.852478	0.296961	0.2141301	1.386825
1160	-5873.403	-5862.138	-11.26504	1.852476	-0.06917566	1.852478	0.08101671	0.01184106	6.842018
1170	-5880.862	-5861.122	-19.74033	1.852476	-1.050596	1.852478	1.124875	0.07427905	15.1439
1180	-5875.359	-5863.019	-12.33943	1.852476	0.04718078	1.862581	0.09717613	0.1443569	0.6731658
1190	-5873.002	-5862.035	-10.96718	1.852476	0.001381343	1.866158	0.02036794	0.02174928	0.9364879
1200	-5872.588	-5861.534	-11.05431	1.852476	0.02470138	1.852634	0.01836887	0.04307026	0.4264863
