iter 	posterior 	likelihood 	prior 	Tree0Likelihood	Tree.height	Tree.treeLength	clockRate	FBD	diversificationRateFBD	turnoverFBD	samplingProportionFBD	originFBD	SACountFBD	mrca.date-backward(1)
0	-3923.07	-3932.72	9.65837	-3932.72	0.216672	1.27094	0.285721	9.39857	0.1	0.5	1	0.216672	0	0.179989
1	nan	-3907.44	nan	-3907.44	0.898455	4.95237	0.0810449	nan	0.1	0.5	1	0.898455	0	0.664183
2	nan	-3875.79	nan	-3875.79	0.679977	3.07594	0.176917	nan	0.1	0.5	1	0.679977	0	0.351387
3	nan	-3880.55	nan	-3880.55	1.37692	6.52071	0.0817991	nan	0.1	0.5	1	1.37692	0	0.711525
4	-4023.21	-3999.86	-23.3441	-3999.86	1.74303	5.6513	0.157759	-20.5511	0.1	0.5	1	1.74303	0	0.43828
5	nan	-3875.79	nan	-3875.79	0.679977	3.07594	0.176917	nan	0.1	0.5	1	0.679977	0	0.351387
6	-4020.71	-3997.42	-23.2955	-3997.42	1.74303	5.74877	0.157759	-20.5026	0.1	0.5	1	1.74303	0	0.461137
7	-4020.96	-3997.12	-23.8404	-3997.12	1.74303	5.72933	0.157759	-21.0475	0.1	0.5	1	1.74303	0	0.452322
8	nan	-3876.23	nan	-3876.23	0.995581	4.73272	0.119267	nan	0.1	0.5	1	0.995581	0	0.538349
9	nan	-3883.48	nan	-3883.48	0.585173	2.89217	0.16323	nan	0.1	0.5	1	0.585173	0	0.334816
10	nan	-3883.48	nan	-3883.48	0.585173	2.89217	0.16323	nan	0.1	0.5	1	0.585173	0	0.334816
11	nan	-3882.59	nan	-3882.59	0.585173	2.94737	0.16323	nan	0.1	0.5	1	0.585173	0	0.352817
12	-3861.06	-3894.8	33.7357	-3894.8	0.403223	2.18719	0.209798	33.849	0.1	0.5	1	0.403223	0	0.276133
13	-3928.35	-3937.34	8.99199	-3937.34	0.216672	1.29483	0.285721	8.73218	0.1	0.5	1	0.216672	0	0.187984
14	nan	-3905.25	nan	-3905.25	0.898455	4.93539	0.0810449	nan	0.1	0.5	1	0.898455	0	0.667485
15	nan	-3879.7	nan	-3879.7	0.657148	3.0506	0.183718	nan	0.1	0.5	1	0.657148	0	0.362113
16	-3860.38	-3894.45	34.0633	-3894.45	0.403223	2.15802	0.209798	34.1766	0.1	0.5	1	0.403223	0	0.269784
17	-3923.07	-3932.72	9.65837	-3932.72	0.216672	1.27094	0.285721	9.39857	0.1	0.5	1	0.216672	0	0.179989
18	-3860.38	-3894.45	34.0633	-3894.45	0.403223	2.15802	0.209798	34.1766	0.1	0.5	1	0.403223	0	0.269784
19	nan	-3875.79	nan	-3875.79	0.679977	3.07594	0.176917	nan	0.1	0.5	1	0.679977	0	0.351387
20	nan	-3878.91	nan	-3878.91	0.657148	3.04412	0.183718	nan	0.1	0.5	1	0.657148	0	0.341063
21	-3861.06	-3894.8	33.7357	-3894.8	0.403223	2.18719	0.209798	33.849	0.1	0.5	1	0.403223	0	0.276133
22	nan	-3882.59	nan	-3882.59	0.585173	2.94737	0.16323	nan	0.1	0.5	1	0.585173	0	0.352817
23	-3861.06	-3894.8	33.7357	-3894.8	0.403223	2.18719	0.209798	33.849	0.1	0.5	1	0.403223	0	0.276133
24	nan	-3875.79	nan	-3875.79	0.679977	3.07594	0.176917	nan	0.1	0.5	1	0.679977	0	0.351387
25	-3923.07	-3932.72	9.65837	-3932.72	0.216672	1.27094	0.285721	9.39857	0.1	0.5	1	0.216672	0	0.179989
26	nan	-3882.59	nan	-3882.59	0.585173	2.94737	0.16323	nan	0.1	0.5	1	0.585173	0	0.352817
27	nan	-3879.01	nan	-3879.01	0.995581	4.69144	0.119267	nan	0.1	0.5	1	0.995581	0	0.529711
28	-3861.06	-3894.8	33.7357	-3894.8	0.403223	2.18719	0.209798	33.849	0.1	0.5	1	0.403223	0	0.276133
29	-3916.23	-3891.74	-24.4964	-3891.74	3.31112	13.486	0.0471189	-18.5673	0.1	0.5	1	3.31112	0	1.3702
30	nan	-3880.45	nan	-3880.45	0.995581	4.3986	0.119267	nan	0.1	0.5	1	0.995581	0	0.439327
31	-3923.07	-3932.72	9.65837	-3932.72	0.216672	1.27094	0.285721	9.39857	0.1	0.5	1	0.216672	0	0.179989
32	nan	-3876.84	nan	-3876.84	1.37692	6.66895	0.0817991	nan	0.1	0.5	1	1.37692	0	0.827005
33	nan	-3878.39	nan	-3878.39	1.37692	6.85178	0.0817991	nan	0.1	0.5	1	1.37692	0	0.845861
34	nan	-3879.39	nan	-3879.39	0.657148	3.10074	0.183718	nan	0.1	0.5	1	0.657148	0	0.368176
35	-3861.06	-3894.8	33.7357	-3894.8	0.403223	2.18719	0.209798	33.849	0.1	0.5	1	0.403223	0	0.276133
36	-3924.57	-3934.17	9.59549	-3934.17	0.216672	1.27563	0.285721	9.33569	0.1	0.5	1	0.216672	0	0.177955
37	-3921.78	-3897.29	-24.4832	-3897.29	3.31112	13.5831	0.0471189	-18.5541	0.1	0.5	1	3.31112	0	1.49893
38	nan	-3875.95	nan	-3875.95	1.37692	6.48295	0.0817991	nan	0.1	0.5	1	1.37692	0	0.737466
39	nan	-3880.55	nan	-3880.55	1.37692	6.52071	0.0817991	nan	0.1	0.5	1	1.37692	0	0.711525
40	-3863.44	-3896.55	33.1083	-3896.55	0.403223	2.22977	0.209798	33.2216	0.1	0.5	1	0.403223	0	0.280876
41	-3860.38	-3894.45	34.0633	-3894.45	0.403223	2.15802	0.209798	34.1766	0.1	0.5	1	0.403223	0	0.269784
42	nan	-3878.91	nan	-3878.91	0.657148	3.04412	0.183718	nan	0.1	0.5	1	0.657148	0	0.341063
43	-3923.07	-3932.72	9.65837	-3932.72	0.216672	1.27094	0.285721	9.39857	0.1	0.5	1	0.216672	0	0.179989
44	nan	-3879.26	nan	-3879.26	0.657148	2.88977	0.183718	nan	0.1	0.5	1	0.657148	0	0.314636
45	nan	-3905.16	nan	-3905.16	0.898455	4.80123	0.0810449	nan	0.1	0.5	1	0.898455	0	0.582332
46	-4020.79	-3997.32	-23.4733	-3997.32	1.74303	5.70014	0.157759	-20.6804	0.1	0.5	1	1.74303	0	0.452322
47	-4020.96	-3997.12	-23.8404	-3997.12	1.74303	5.72933	0.157759	-21.0475	0.1	0.5	1	1.74303	0	0.452322
48	-3921.55	-3897.14	-24.4084	-3897.14	3.31112	13.6322	0.0471189	-18.4793	0.1	0.5	1	3.31112	0	1.44254
49	nan	-3905.16	nan	-3905.16	0.898455	4.80123	0.0810449	nan	0.1	0.5	1	0.898455	0	0.582332
50	nan	-3876.23	nan	-3876.23	0.995581	4.73272	0.119267	nan	0.1	0.5	1	0.995581	0	0.538349
51	nan	-3880.55	nan	-3880.55	1.37692	6.52071	0.0817991	nan	0.1	0.5	1	1.37692	0	0.711525
52	nan	-3880.45	nan	-3880.45	0.995581	4.3986	0.119267	nan	0.1	0.5	1	0.995581	0	0.439327
53	nan	-3879.7	nan	-3879.7	0.657148	3.0506	0.183718	nan	0.1	0.5	1	0.657148	0	0.362113
54	nan	-3877.35	nan	-3877.35	0.679977	3.13771	0.176917	nan	0.1	0.5	1	0.679977	0	0.352956
55	-4021.07	-3997.83	-23.2391	-3997.83	1.74303	5.67224	0.157759	-20.4461	0.1	0.5	1	1.74303	0	0.452322
56	-3920.66	-3896.09	-24.5631	-3896.09	3.31112	13.3608	0.0471189	-18.634	0.1	0.5	1	3.31112	0	1.43462
57	-4023.17	-3999.71	-23.4622	-3999.71	1.74303	5.66404	0.157759	-20.6693	0.1	0.5	1	1.74303	0	0.43828
58	nan	-3880.45	nan	-3880.45	0.995581	4.3986	0.119267	nan	0.1	0.5	1	0.995581	0	0.439327
59	nan	-3883.48	nan	-3883.48	0.585173	2.89217	0.16323	nan	0.1	0.5	1	0.585173	0	0.334816
60	nan	-3878.91	nan	-3878.91	0.657148	3.04412	0.183718	nan	0.1	0.5	1	0.657148	0	0.341063
61	nan	-3876.9	nan	-3876.9	0.657148	3.07194	0.183718	nan	0.1	0.5	1	0.657148	0	0.361595
62	-3860.38	-3894.45	34.0633	-3894.45	0.403223	2.15802	0.209798	34.1766	0.1	0.5	1	0.403223	0	0.269784
63	-3861.06	-3894.8	33.7357	-3894.8	0.403223	2.18719	0.209798	33.849	0.1	0.5	1	0.403223	0	0.276133
64	nan	-3877.09	nan	-3877.09	0.679977	3.05277	0.176917	nan	0.1	0.5	1	0.679977	0	0.351401
65	nan	-3879.11	nan	-3879.11	0.657148	3.16651	0.183718	nan	0.1	0.5	1	0.657148	0	0.395803
66	nan	-3876.23	nan	-3876.23	0.995581	4.73272	0.119267	nan	0.1	0.5	1	0.995581	0	0.538349
